player_id,nba_id,name,first_name,last_name,active,bbref_url
pottemi01,1630695,Micah Potter,Micah,Potter,False,https://www.basketball-reference.com/players/p/pottemi01.html
powele01,200796,Leon Powe,Leon,Powe,False,https://www.basketball-reference.com/players/p/powele01.html
poweldr01,1642962,Drake Powell,Drake,Powell,True,https://www.basketball-reference.com/players/p/poweldr01.html
poweldw01,203939,Dwight Powell,Dwight,Powell,True,https://www.basketball-reference.com/players/p/poweldw01.html
poweljo01,2694,Josh Powell,Josh,Powell,False,https://www.basketball-reference.com/players/p/poweljo01.html
powelka01,2867,Kasib Powell,Kasib,Powell,False,https://www.basketball-reference.com/players/p/powelka01.html
powelmy01,1629619,Myles Powell,Myles,Powell,False,https://www.basketball-reference.com/players/p/powelmy01.html
powelno01,1626181,Norman Powell,Norman,Powell,True,https://www.basketball-reference.com/players/p/powelno01.html
powelro01,101232,Roger Powell,Roger,Powell,False,https://www.basketball-reference.com/players/p/powelro01.html
poythal01,1627816,Alex Poythress,Alex,Poythress,False,https://www.basketball-reference.com/players/p/poythal01.html
presspa01,77879,Paul Pressey,Paul,Pressey,False,https://www.basketball-reference.com/players/p/presspa01.html
pressph01,203515,Phil Pressey,Phil,Pressey,False,https://www.basketball-reference.com/players/p/pressph01.html
pressdo01,77880,Dominic Pressley,Dominic,Pressley,False,https://www.basketball-reference.com/players/p/pressdo01.html
pressha01,77881,Harold Pressley,Harold,Pressley,False,https://www.basketball-reference.com/players/p/pressha01.html
prestja01,1630554,Jason Preston,Jason,Preston,False,https://www.basketball-reference.com/players/p/prestja01.html
priceaj01,201985,AJ Price,AJ,Price,False,https://www.basketball-reference.com/players/p/priceaj01.html
pricebr01,85,Brent Price,Brent,Price,False,https://www.basketball-reference.com/players/p/pricebr01.html
priceji01,77883,Jim Price,Jim,Price,False,https://www.basketball-reference.com/players/p/priceji01.html
pricema01,899,Mark Price,Mark,Price,False,https://www.basketball-reference.com/players/p/pricema01.html
pricemi01,77884,Mike Price,Mike,Price,False,https://www.basketball-reference.com/players/p/pricemi01.html
pricero01,101179,Ronnie Price,Ronnie,Price,False,https://www.basketball-reference.com/players/p/pricero01.html
priceto01,77882,Tony Price,Tony,Price,False,https://www.basketball-reference.com/players/p/priceto01.html
priddbo01,77886,Bob Priddy,Bob,Priddy,False,https://www.basketball-reference.com/players/p/priddbo01.html
prigipa01,203143,Pablo Prigioni,Pablo,Prigioni,False,https://www.basketball-reference.com/players/p/prigipa01.html
primojo01,1630563,Joshua Primo,Joshua,Primo,False,https://www.basketball-reference.com/players/p/primojo01.html
princta01,1627752,Taurean Prince,Taurean,Prince,True,https://www.basketball-reference.com/players/p/princta01.html
princta02,2419,Tayshaun Prince,Tayshaun,Prince,False,https://www.basketball-reference.com/players/p/princta02.html
pritcjo01,77887,John Pritchard,John,Pritchard,False,https://www.basketball-reference.com/players/p/pritcjo01.html
pritcke01,340,Kevin Pritchard,Kevin,Pritchard,False,https://www.basketball-reference.com/players/p/pritcke01.html
pritcpa01,1630202,Payton Pritchard,Payton,Pritchard,True,https://www.basketball-reference.com/players/p/pritcpa01.html
proctty01,1642878,Tyrese Proctor,Tyrese,Proctor,True,https://www.basketball-reference.com/players/p/proctty01.html
profila01,1919,Laron Profit,Laron,Profit,False,https://www.basketball-reference.com/players/p/profila01.html
prospol01,1641765,Olivier-Maxence Prosper,Olivier-Maxence,Prosper,True,https://www.basketball-reference.com/players/p/prospol01.html
pruitga01,201172,Gabe Pruitt,Gabe,Pruitt,False,https://www.basketball-reference.com/players/p/pruitga01.html
przybjo01,2038,Joel Przybilla,Joel,Przybilla,False,https://www.basketball-reference.com/players/p/przybjo01.html
pughle01,77888,Les Pugh,Les,Pugh,False,https://www.basketball-reference.com/players/p/pughle01.html
pughro01,77889,Roy Pugh,Roy,Pugh,False,https://www.basketball-reference.com/players/p/pughro01.html
pullaan01,77890,Anthony Pullard,Anthony,Pullard,False,https://www.basketball-reference.com/players/p/pullaan01.html
pulleja01,1626643,Jacob Pullen,Jacob,Pullen,False,https://www.basketball-reference.com/players/p/pulleja01.html
pullizy01,1642389,Zyon Pullin,Zyon,Pullin,False,https://www.basketball-reference.com/players/p/pullizy01.html
purviro01,1628681,Rodney Purvis,Rodney,Purvis,False,https://www.basketball-reference.com/players/p/purviro01.html
putmado01,77891,Don Putman,Don,Putman,False,https://www.basketball-reference.com/players/p/putmado01.html
quartti01,1627817,Tim Quarterman,Tim,Quarterman,False,https://www.basketball-reference.com/players/q/quartti01.html
queende01,1642852,Derik Queen,Derik,Queen,True,https://www.basketball-reference.com/players/q/queende01.html
queentr01,1630243,Trevelin Queen,Trevelin,Queen,False,https://www.basketball-reference.com/players/q/queentr01.html
quetane01,1629674,Neemias Queta,Neemias,Queta,True,https://www.basketball-reference.com/players/q/quetane01.html
quickbo01,77892,Bob Quick,Bob,Quick,False,https://www.basketball-reference.com/players/q/quickbo01.html
quickim01,1630193,Immanuel Quickley,Immanuel,Quickley,True,https://www.basketball-reference.com/players/q/quickim01.html
quinnch01,200809,Chris Quinn,Chris,Quinn,False,https://www.basketball-reference.com/players/q/quinnch01.html
quinnbr01,77893,Brian Quinnett,Brian,Quinnett,False,https://www.basketball-reference.com/players/q/quinnbr01.html
quinole01,1631311,Lester Quinones,Lester,Quinones,False,https://www.basketball-reference.com/players/q/quinole01.html
rabbiv01,1628397,Ivan Rabb,Ivan,Rabb,False,https://www.basketball-reference.com/players/r/rabbiv01.html
rackllu01,77894,Luke Rackley,Luke,Rackley,False,https://www.basketball-reference.com/players/r/rackllu01.html
raderho01,77895,Howie Rader,Howie,Rader,False,https://www.basketball-reference.com/players/r/raderho01.html
radfoma01,77896,Mark Radford,Mark,Radford,False,https://www.basketball-reference.com/players/r/radfoma01.html
radfowa01,77897,Wayne Radford,Wayne,Radford,False,https://www.basketball-reference.com/players/r/radfowa01.html
radjadi01,129,Dino Radja,Dino,Radja,False,https://www.basketball-reference.com/players/r/radjadi01.html
radmavl01,2209,Vladimir Radmanovic,Vladimir,Radmanovic,False,https://www.basketball-reference.com/players/r/radmavl01.html
radojal01,1893,Aleksandar Radojevic,Aleksandar,Radojevic,False,https://www.basketball-reference.com/players/r/radojal01.html
radovfr01,77899,Frank Radovich,Frank,Radovich,False,https://www.basketball-reference.com/players/r/radovfr01.html
radovmo01,77900,Moe Radovich,Moe,Radovich,False,https://www.basketball-reference.com/players/r/radovmo01.html
radulmi01,203545,Miroslav Raduljica,Miroslav,Raduljica,False,https://www.basketball-reference.com/players/r/radulmi01.html
radzira01,77901,Ray Radziszewski,Ray,Radziszewski,False,https://www.basketball-reference.com/players/r/radzira01.html
ragelra01,77902,Ray Ragelis,Ray,Ragelis,False,https://www.basketball-reference.com/players/r/ragelra01.html
raikesh01,77903,Sherwin Raiken,Sherwin,Raiken,False,https://www.basketball-reference.com/players/r/raikesh01.html
rainsed01,77904,Ed Rains,Ed,Rains,False,https://www.basketball-reference.com/players/r/rainsed01.html
rakocig01,2080,Igor Rakocevic,Igor,Rakocevic,False,https://www.basketball-reference.com/players/r/rakocig01.html
rambiku01,77905,Kurt Rambis,Kurt,Rambis,False,https://www.basketball-reference.com/players/r/rambiku01.html
ramospe01,2762,Peter John Ramos,Peter John,Ramos,False,https://www.basketball-reference.com/players/r/ramospe01.html
ramseca01,77906,Cal Ramsey,Cal,Ramsey,False,https://www.basketball-reference.com/players/r/ramseca01.html
ramsefr01,77907,Frank Ramsey,Frank,Ramsey,False,https://www.basketball-reference.com/players/r/ramsefr01.html
ramseja01,1630186,Jahmi'us Ramsey,Jahmi'us,Ramsey,False,https://www.basketball-reference.com/players/r/ramseja01.html
ramsera01,77908,Ray Ramsey,Ray,Ramsey,False,https://www.basketball-reference.com/players/r/ramsera01.html
randama01,1821,Mark Randall,Mark,Randall,False,https://www.basketball-reference.com/players/r/randama01.html
randlch01,1626184,Chasson Randle,Chasson,Randle,False,https://www.basketball-reference.com/players/r/randlch01.html
randlju01,203944,Julius Randle,Julius,Randle,True,https://www.basketball-reference.com/players/r/randlju01.html
randoan01,201576,Anthony Randolph,Anthony,Randolph,False,https://www.basketball-reference.com/players/r/randoan01.html
randosh01,101183,Shavlik Randolph,Shavlik,Randolph,False,https://www.basketball-reference.com/players/r/randosh01.html
randoza01,2216,Zach Randolph,Zach,Randolph,False,https://www.basketball-reference.com/players/r/randoza01.html
rankwa01,77910,Wally Rank,Wally,Rank,False,https://www.basketball-reference.com/players/r/rankwa01.html
ranseke01,77911,Kelvin Ransey,Kelvin,Ransey,False,https://www.basketball-reference.com/players/r/ranseke01.html
ranzisa01,77912,Sam Ranzino,Sam,Ranzino,False,https://www.basketball-reference.com/players/r/ranzisa01.html
rasmubl01,78656,Blair Rasmussen,Blair,Rasmussen,False,https://www.basketball-reference.com/players/r/rasmubl01.html
rathaxa01,1628504,Xavier Rathan-Mayes,Xavier,Rathan-Mayes,False,https://www.basketball-reference.com/players/r/rathaxa01.html
ratkoge01,77913,George Ratkovicz,George,Ratkovicz,False,https://www.basketball-reference.com/players/r/ratkoge01.html
ratleed01,77914,Ed Ratleff,Ed,Ratleff,False,https://www.basketball-reference.com/players/r/ratleed01.html
ratlimi01,77915,Mike Ratliff,Mike,Ratliff,False,https://www.basketball-reference.com/players/r/ratlimi01.html
ratlith01,689,Theo Ratliff,Theo,Ratliff,False,https://www.basketball-reference.com/players/r/ratlith01.html
rautian01,202360,Andy Rautins,Andy,Rautins,False,https://www.basketball-reference.com/players/r/rautian01.html
rautile01,77916,Leo Rautins,Leo,Rautins,False,https://www.basketball-reference.com/players/r/rautile01.html
rayal01,200810,Allan Ray,Allan,Ray,False,https://www.basketball-reference.com/players/r/rayal01.html
raycl01,77917,Clifford Ray,Clifford,Ray,False,https://www.basketball-reference.com/players/r/raycl01.html
raydo01,77918,Don Ray,Don,Ray,False,https://www.basketball-reference.com/players/r/raydo01.html
rayja01,77920,Jamesearl Ray,Jamesearl,Ray,False,https://www.basketball-reference.com/players/r/rayja01.html
rayji01,77919,Jim Ray,Jim,Ray,False,https://www.basketball-reference.com/players/r/rayji01.html
raymocr01,77921,Craig Raymond,Craig,Raymond,False,https://www.basketball-reference.com/players/r/raymocr01.html
