age,size_bucket,n_players,mean_delta_pts_per75,std_delta_pts_per75,mean_delta_ast_per75,std_delta_ast_per75,mean_delta_trb_per75,std_delta_trb_per75,mean_delta_stl_per75,std_delta_stl_per75,mean_delta_blk_per75,std_delta_blk_per75,mean_delta_vorp,std_delta_vorp,mean_delta_bpm,std_delta_bpm,mean_delta_ws_per_48,std_delta_ws_per_48,mean_delta_ts_pct,std_delta_ts_pct,mean_delta_per,std_delta_per
27,Wing,564,-0.3870510975764233,2.505517562852257,0.013611555982375798,0.6686173108758151,-0.14057904767596965,1.0743044785894253,-0.027339953226591485,0.30801466623369905,-0.037261535223113415,0.2832247234026195,-0.07718940936863546,0.947418104139284,-0.21975560081466392,1.7466810338538312,-0.005671428571428572,0.04024925788173823,-0.0019734042553191493,0.043645442958626955,-0.5235714285714286,2.4714429299279037
28,Wing,489,-0.4528853010447077,2.4358458126796427,-0.02046310169128434,0.6915104433295587,-0.0029423456092317573,1.0637656478465232,-0.02315985725772966,0.32862743040505565,-0.01800777157514145,0.28687952432314046,-0.18051643192488265,0.9270678462195,-0.33474178403755867,1.8237555445039255,-0.0047917525773195895,0.03912535393155229,-0.003515337423312884,0.043275995101052525,-0.5298969072164949,2.4377271010312014
29,Wing,430,-0.6325093482251095,2.574225014497267,-0.05501822142687989,0.6949626038137402,-0.13735150957742467,1.0847540782517184,-0.02122254230342656,0.3309367688725814,0.000325652271085494,0.3237868749721613,-0.1512,0.9066553684941436,-0.3445333333333333,1.9683092810899803,-0.005792540792540793,0.0443633188161093,-0.006620930232558138,0.05154709552833901,-0.6575757575757575,2.612187413123356
30,Wing,365,-0.7988580976471515,2.4897317573323683,0.02676766190319938,0.620397597787355,-0.11625232319323003,1.0743930177899417,0.0032108310960551304,0.3309576032522296,-0.03211696966712652,0.3142585214464416,-0.25353846153846155,0.8089553368030094,-0.4772307692307691,1.7645965401948447,-0.008983516483516482,0.04025900652441713,-0.005709589041095897,0.046520975312878146,-0.8873626373626373,2.461495138003092
31,Wing,281,-0.3089207071155555,2.235068411548736,-0.03923755091135871,0.7942431098543681,-0.026341493513229113,1.102228722788905,-0.004474654433575211,0.33756274926960705,-0.02120580285364687,0.3075364941345954,-0.16719367588932804,0.8248080765453562,-0.4233201581027668,1.853131638420288,-0.0059107142857142865,0.038145954743422666,-0.0046263345195729525,0.04584086468910506,-0.43464285714285716,2.466996464646762
32,Wing,205,-0.7481531623685335,2.392494677675062,-0.11026162585888512,0.7491777669411102,-0.12165774217757788,1.1291042232336093,-0.05392839443305628,0.30061054952388394,-0.005343964327225667,0.28476903630882505,-0.22349726775956283,0.8462228999625722,-0.3825136612021858,1.6145697275225144,-0.009475490196078431,0.03822740341273138,-0.004556097560975607,0.04317625782300127,-0.9137254901960786,2.330945777970749
33,Wing,155,-0.9648604880940034,2.3711013300354753,-0.13142107529079466,0.7119978918041286,-0.24002868629797675,0.9266685031607685,0.030712769888075316,0.3238773093890918,-0.015730867904712793,0.2352756256468254,-0.38243243243243247,0.9113581265668009,-0.6695945945945946,1.7952188498570718,-0.014967741935483872,0.04113509882396839,-0.01124516129032258,0.055916837825550195,-1.1283870967741934,2.544072684340809
34,Wing,101,-0.6661691812642836,2.5673189100028413,0.09761586736845884,0.7010469353664724,-0.11885467892073946,1.09410062848988,-0.015578844385781089,0.309948782566057,0.0026332987674812726,0.3065580524564086,-0.34299999999999997,0.8063203614274695,-0.4640000000000001,1.89334400338436,-0.01016831683168317,0.04465804951113085,-0.011524752475247521,0.054376942550938986,-0.7801980198019802,2.5964984036960317
35,Wing,70,-1.0236690826323036,2.1303598632919925,0.00492178539752151,0.7770797760588919,-0.09701646889161457,1.2266707807708526,-0.09152782234492148,0.32354367421059566,0.014679593426109958,0.30683864450132964,-0.26285714285714284,0.8120775697530785,-0.4085714285714285,1.4332230686076868,-0.008300000000000002,0.03165317027417313,-0.002385714285714286,0.04015776599578539,-1.0314285714285716,2.0207290158983664
36,Wing,40,-0.6824462285155748,2.404492036424798,-0.32356079984626146,0.8605304153926998,-0.073327164122827,0.8197786245527119,0.004287361982372196,0.3447253037896911,0.014771687690855012,0.28988172222385766,-0.21999999999999997,0.7397851385923154,-0.5850000000000001,1.7448164990578852,-0.015925,0.04197031154616382,-0.013749999999999998,0.03856845396208722,-0.9925,2.4006823282195504
